Name,Address,Borough,Coordinate
Mosholu Post Office,"3464 Jerome Ave, Bronx, NY 10467",Bronx,"(40.88165499999999, -73.8819216)"
Mott Haven Post Office,"517 E 139th St, Bronx, NY 10454",Bronx,"(40.8082287, -73.91804669999999)"
Mount Carmel Post Office,"652 E 187th St Front 1, Bronx, NY 10458",Bronx,"(40.854695, -73.8861982)"
Parkchester Post Office,"1449 West Ave, Bronx, NY 10462",Bronx,"(40.83656120000001, -73.8620041)"
Parkway Post Office,"2100 White Plains Rd Front 3, Bronx, NY 10462",Bronx,"(40.8535365, -73.86740329999999)"
Pilgrim Post Office,"1545 Crosby Ave Front 1, Bronx, NY 10461",Bronx,"(40.8434974, -73.8305752)"
Riverdale Post Office,"5951 Riverdale Ave, Bronx, NY 10471",Bronx,"(40.9076178, -73.9041548)"
Soundview Post Office,"1687 Gleason Ave, Bronx, NY 10472",Bronx,"(40.8294526, -73.8710342)"
Spuyten Duyvil Post Office,"562 Kappock St, Bronx, NY 10463",Bronx,"(40.878744, -73.91708799999999)"
Stadium Post Office,"901 Gerard Ave Front 1, Bronx, NY 10452",Bronx,"(40.8283719, -73.9247279)"
Throggs Neck Post Office,"3630 E Tremont Ave, Bronx, NY 10465",Bronx,"(40.8279776, -73.8241702)"
Tremont Post Office,"575 E Tremont Ave, Bronx, NY 10457",Bronx,"(40.8467333, -73.893819)"
University Heights Post Office,"1541 Shakespeare Ave Front 1, Bronx, NY 10452",Bronx,"(40.84568609999999, -73.91942809999999)"
Van Cott Post Office,"3102 Decatur Ave, Bronx, NY 10467",Bronx,"(40.8715252, -73.8777183)"
Wakefield Post Office,"4165 White Plains Rd, Bronx, NY 10466",Bronx,"(40.8926133, -73.8581707)"
West Farms Post Office,"362 Devoe Ave, Bronx, NY 10460",Bronx,"(40.8395671, -73.8774826)"
Westchester Post Office,"2619 Ponton Ave, Bronx, NY 10461",Bronx,"(40.8422811, -73.84305499999999)"
Williamsbridge Post Office,"711 E Gun Hill Rd, Bronx, NY 10467",Bronx,"(40.877441, -73.8653836)"
Woodlawn Post Office,"4364 Katonah Ave, Bronx, NY 10470",Bronx,"(40.9008374, -73.86749689999999)"
Arverne Post Office,"329 Beach 59th St, Arverne, NY 11692",Queens,"(40.5935133, -73.7894745)"
Astoria Post Office,"3011 21st St Ste a, Astoria, NY 11102",Queens,"(40.7693093, -73.9279619)"
Broadway Post Office,"2117 Broadway, Astoria, NY 11106",Queens,"(40.7650759, -73.9303971)"
